Arquivo,Offset,Antes,Depois
GROUP23.BIN,0x15914,Sem espaço:^cc6Pílula Carvalho Verdec7.,Sem espaço:^cc6Pílula verdec7.
GROUP23.BIN,0x15940,Sem espaço:^cc6Pílula de Rubiac7.,Sem espaço:^cc6Pílula rubrac7.
GROUP23.BIN,0x15964,Sem espaço:^cc6Amuleto Táticoc7.,Sem espaço:^cc6Amul. táticoc7.
GROUP23.BIN,0x159B8,Sem espaço:^cc6Pílula Carvalho Verdec7.,Sem espaço:^cc6Pílula verdec7.
GROUP23.BIN,0x159E4,Sem espaço:^cc6Kiku Ichimonjic7.,Sem espaço:^cc6Ichimonjic7.
GROUP23.BIN,0x15A08,Sem espaço:^cc6Pílula de Rubiac7.,Sem espaço:^cc6Pílula rubrac7.
GROUP23.BIN,0x15A2C,Sem espaço:^cc6Erva-de-Benkeic7.,Sem espaço:^cc6Erva Benkeic7.
GROUP23.BIN,0x15A68,Sem espaço:^cc6Pílula Casco-de-Carneiroc7.,Sem espaço:^cc6Pílula azedac7.
GROUP23.BIN,0x15AB4,Sem espaço:^cc6Erva Couro-de-Boic7.,Sem espaço:^cc6Erva de couroc7.
GROUP23.BIN,0x15ADC,Sem espaço:^cc6Pílula Carvalho Verdec7.,Sem espaço:^cc6Pílula verdec7.
GROUP23.BIN,0x15B08,Sem espaço:^cc6Pílula Casco-de-Carneiroc7.,Sem espaço:^cc6Pílula azedac7.
GROUP23.BIN,0x15B38,Sem espaço:^cc6Pílula Casco-de-Carneiroc7.,Sem espaço:^cc6Pílula azedac7.
GROUP24.BIN,0x48100,c6Pílula de Rubiac7 obtida!,c6Pílula rubrac7 obtida!
GROUP24.BIN,0x4A160,c6Pílula de Rubiac7 obtida!,c6Pílula rubrac7 obtida!
GROUP24.BIN,0x4A304,c6Pílula de Rubiac7 obtida!,c6Pílula rubrac7 obtida!
GROUP24.BIN,0x4A470,c6Carta da cantorac7 obtida!,c6Carta cantorac7 obtida!
GROUP24.BIN,0x4AD5C,c6Pílula de Rubiac7 obtida!,c6Pílula rubrac7 obtida!
GROUP24.BIN,0x4D420,c6Pílula de Rubiac7 obtida!,c6Pílula rubrac7 obtida!
GROUP24.BIN,0x4DCB8,c6Pílula de Rubiac7 obtida!,c6Pílula rubrac7 obtida!
GROUP24.BIN,0x4E794,c6Tintura hemostáticac7 obtida!,c6Tinturac7 obtida!
GROUP24.BIN,0x52C18,c6Erva-benkeic7 obtida.,c6Erva Benkeic7 obtida.
GROUP25.BIN,0x4B5B4,"Ikuno^c Você quer a flor roxa?^c Se for troca por casco de tartaruga, eu topo.","Ikuno^c Você quer a flor roxa?^c Se for troca por casco, eu topo."
GROUP25.BIN,0x4B62C,Ikuno^c Você não tem casco de tartaruga nenhum.,Ikuno^c Você não tem casco nenhum.
GROUP25.BIN,0x4C724,"Taizo^c Se conseguirem casco de tartaruga ou pérola,^c o melhor é passar^c na loja de ferramentas.","Taizo^c Se conseguirem casco ou pérola,^c o melhor é passar^c na loja de ferramentas."
GROUP26.BIN,0x2AFF4,c6Remédio da Megumic7 usado!,c6Rem. Megumic7 usado!
GROUP26.BIN,0x2B060,c6Erva-de-Benkeic7 obtida!,c6Erva Benkeic7 obtida!
GROUP26.BIN,0x2B07C,Sem espaço:^cc6Erva-de-Benkeic7.,Sem espaço:^cc6Erva Benkeic7.
GROUP26.BIN,0x2B0A0,c6Pílula Jahatsuc7 obtida!,c6Pílula cobrac7 obtida!
GROUP26.BIN,0x2B0BC,Sem espaço:^cc6Pílula Jahatsuc7.,Sem espaço:^cc6Pílula cobrac7.
GROUP26.BIN,0x2B0E0,c6Erva Couro-de-Boic7 obtida!,c6Erva de couroc7 obtida!
GROUP26.BIN,0x2B100,Sem espaço:^cc6Erva Couro-de-Boic7.,Sem espaço:^cc6Erva de couroc7.
GROUP26.BIN,0x2B128,c6Pílula Jahatsuc7 obtida!,c6Pílula cobrac7 obtida!
GROUP26.BIN,0x2B144,Sem espaço:^cc6Pílula Jahatsuc7.,Sem espaço:^cc6Pílula cobrac7.
GROUP26.BIN,0x2B168,c6Pílula Itadoric7 obtida!,c6Píl. Itadoric7 obtida!
GROUP26.BIN,0x2B184,Sem espaço:^cc6Pílula Itadoric7.,Sem espaço:^cc6Píl. Itadoric7.
GROUP26.BIN,0x2B1A8,c6Pílula Casco-de-Carneiroc7 obtida!,c6Pílula azedac7 obtida!
GROUP26.BIN,0x2B1D0,Sem espaço:^cc6Pílula Casco-de-Carneiroc7.,Sem espaço:^cc6Pílula azedac7.
GROUP26.BIN,0x2B200,c6Kogarasu Maruc7 obtida!,c6Kogarasuc7 obtida!
GROUP26.BIN,0x2B21C,Sem espaço:^cc6Kogarasu Maruc7.,Sem espaço:^cc6Kogarasuc7.
GROUP26.BIN,0x2B240,c6Erva Couro-de-Boic7 obtida!,c6Erva de couroc7 obtida!
GROUP26.BIN,0x2B260,Sem espaço:^cc6Erva Couro-de-Boic7.,Sem espaço:^cc6Erva de couroc7.
GROUP27.BIN,0x28F4C,c6Selo Ha-1c7 obtido!!,c6Frag. Ha-1c7 obtido!!
GROUP27.BIN,0x2A158,c6Erva Couro-de-Boic7 obtida!,c6Erva de couroc7 obtida!
GROUP27.BIN,0x2A178,c6Pílula Itadoric7 obtida!,c6Píl. Itadoric7 obtida!
GROUP27.BIN,0x2A194,c6Pílula Barba-de-Cobrac7 obtida!,c6Pílula cobrac7 obtida!
GROUP27.BIN,0x2A1B8,c6Pílula Carvalho Verdec7 obtida!,c6Pílula verdec7 obtida!
GROUP27.BIN,0x2A1DC,c6Feijão de Bambuc7 obtido!,c6Grão damascoc7 obtido!
GROUP27.BIN,0x2A1FC,c6Pílula de Rubiac7 obtida!,c6Pílula rubrac7 obtida!
GROUP27.BIN,0x2A260,c6Erva Couro-de-Boic7:^cvocê já carrega o máximo.,c6Erva de couroc7:^cvocê já carrega o máximo.
GROUP27.BIN,0x2A298,c6Pílula Itadoric7:^cvocê já carrega o máximo.,c6Píl. Itadoric7:^cvocê já carrega o máximo.
GROUP27.BIN,0x2A2CC,c6Pílula Barba-de-Cobrac7:^cvocê já carrega o máximo.,c6Pílula cobrac7:^cvocê já carrega o máximo.
GROUP27.BIN,0x2A308,c6Pílula Carvalho Verdec7:^cvocê já carrega o máximo.,c6Pílula verdec7:^cvocê já carrega o máximo.
GROUP27.BIN,0x2A344,c6Feijão de Bambuc7:^cvocê já carrega o máximo.,c6Grão damascoc7:^cvocê já carrega o máximo.
GROUP27.BIN,0x2A378,c6Pílula de Rubiac7:^cvocê já carrega o máximo.,c6Pílula rubrac7:^cvocê já carrega o máximo.
GROUP29.BIN,0x1762C,c6Selo Ha-3c7 obtido!!,c6Frag. Ha-3c7 obtido!!
GROUP29.BIN,0x17860,c6Amuleto Táticoc7 obtido!,c6Amul. táticoc7 obtido!
GROUP29.BIN,0x1787C,Não há espaço para mais^cc6Amuleto Táticoc7.,Não há espaço para mais^cc6Amul. táticoc7.
GROUP29.BIN,0x17904,c6Amuleto Táticoc7 obtido!,c6Amul. táticoc7 obtido!
GROUP29.BIN,0x17920,Não há espaço para mais^cc6Amuleto Táticoc7.,Não há espaço para mais^cc6Amul. táticoc7.
GROUP37.BIN,0x19C68,Você obteve a c6Espada Kuji-kiric7!,Você obteve a c6Kuji-kiric7!
GROUP37.BIN,0x19CEC,Você obteve c6Segredo Marcialc7!,Você obteve c6Seg. marcialc7!
GROUP37.BIN,0x19D10,Você obteve c6Raiz de aspargoc7!,Você obteve c6Raiz aspargoc7!
GROUP37.BIN,0x19D34,Você obteve c6Erva Mizosobac7!,Você obteve c6Erva de couroc7!
GROUP37.BIN,0x19D54,Você obteve c6Guia Marcialc7!,Você obteve c6Guia marcialc7!
GROUP37.BIN,0x19D74,Você obteve c6Pílula Jintanc7!,Você obteve c6Jintanc7!
GROUP37.BIN,0x19E00,Não dá para carregar mais c6Segredo Marcialc7.,Não dá para carregar mais c6Seg. marcialc7.
GROUP37.BIN,0x19E34,Não dá para carregar mais c6Raiz de aspargoc7.,Não dá para carregar mais c6Raiz aspargoc7.
GROUP37.BIN,0x19E68,Não dá para carregar mais c6Erva Mizosobac7.,Não dá para carregar mais c6Erva de couroc7.
GROUP37.BIN,0x19E98,Não dá para carregar mais c6Guia Marcialc7.,Não dá para carregar mais c6Guia marcialc7.
GROUP37.BIN,0x19EC8,Não dá para carregar mais c6Pílula Jintanc7.,Não dá para carregar mais c6Jintanc7.
GROUP39.BIN,0x1C464,Kenshin^c Ouvi dizer que há uma vila de^c ferreiros adiante. Por acaso^c existe lá um objeto chamado Livro^c das Chamas?,Kenshin^c Ouvi dizer que há uma vila de^c ferreiros adiante. Por acaso^c existe lá um objeto chamado Livro de^c Fogo?
GROUP39.BIN,0x1CFCC,Guarda^c É o Livro das Chamas. Dizem que^c ele ensina a forjar uma espada^c extraordinária. Mas só os^c ferreiros desaparecidos desta^c vila conseguem decifrá-lo. Nem eu^c sei ler.,Guarda^c É o Livro de Fogo. Dizem que^c ele ensina a forjar uma espada^c extraordinária. Mas só os^c ferreiros desaparecidos desta^c vila conseguem decifrá-lo. Nem eu^c sei ler.
GROUP39.BIN,0x1D174,Guarda^c Vocês pretendem levar o Livro das^c Chamas?,Guarda^c Vocês pretendem levar o Livro de^c Fogo?
GROUP39.BIN,0x1D374,"Kenshin^c Livro das Chamas... Este servo^c veio para destruir este livro.^c Enquanto ele existir, mais sangue^c será derramado... é o que penso.","Kenshin^c Livro de Fogo... Este servo^c veio para destruir este livro.^c Enquanto ele existir, mais sangue^c será derramado... é o que penso."
GROUP39.BIN,0x1D894,c6Livro das Chamasc7 encontrado!,c6Livro de Fogoc7 encontrado!
GROUP39.BIN,0x1DA84,c6Livro das Chamasc7 entregue!,c6Livro de Fogoc7 entregue!
GROUP39.BIN,0x1DCB8,Guarda^c Então vocês viram tudo...^c Takayuki-san levou o Livro das^c Chamas e foi para a Vila de^c Hasumi.,Guarda^c Então vocês viram tudo...^c Takayuki-san levou o Livro de^c Fogo e foi para a Vila de^c Hasumi.
GROUP39.BIN,0x1DD28,Kenshin^c Ele foi à Vila de Hasumi com o^c Livro das Chamas? Será que^c pretende forjar uma espada?,Kenshin^c Ele foi à Vila de Hasumi com o^c Livro de Fogo? Será que^c pretende forjar uma espada?
GROUP39.BIN,0x1DECC,Guarda^c Takayuki-san levou o Livro das^c Chamas e foi para a Vila de^c Hasumi.,Guarda^c Takayuki-san levou o Livro de^c Fogo e foi para a Vila de^c Hasumi.
GROUP39.BIN,0x1DFDC,Kenshin^c Parece que você é capaz de ler o^c Livro das Chamas.,Kenshin^c Parece que você é capaz de ler o^c Livro de Fogo.
GROUP39.BIN,0x1EA40,Kenshin^c O Livro das Chamas foi queimado.^c Agora não há mais nada prendendo^c você a este lugar.,Kenshin^c O Livro de Fogo foi queimado.^c Agora não há mais nada prendendo^c você a este lugar.
GROUP39.BIN,0x1EAA8,Guarda^c O Livro das Chamas...? Entendo...,Guarda^c O Livro de Fogo...? Entendo...
GROUP39.BIN,0x1ED08,"Takayuki^c Munetaka criou muitas espadas^c célebres, mas morreu sem concluir^c a última delas. O Livro das^c Chamas foi escrito por ele. Como^c tratar o aço, o formato da^c lâmina... O livro contém tudo^c sobre a espada lendária que nem^c aquele gênio conseguiu terminar.","Takayuki^c Munetaka criou muitas espadas^c célebres, mas morreu sem concluir^c a última delas. O Livro de^c Fogo foi escrito por ele. Como^c tratar o aço, o formato da^c lâmina... O livro contém tudo^c sobre a espada lendária que nem^c aquele gênio conseguiu terminar."
GROUP39.BIN,0x1F00C,c6Livro das Chamasc7 recebido!,c6Livro de Fogoc7 recebido!
GROUP39.BIN,0x1F02C,Kaoru^c O quê? Queimar o Livro das^c Chamas...?,Kaoru^c O quê? Queimar o Livro de^c Fogo...?
GROUP39.BIN,0x1F164,Takayuki^c Eu conheço meu próprio estado. O^c Livro das Chamas... fica por^c conta de vocês...,Takayuki^c Eu conheço meu próprio estado. O^c Livro de Fogo... fica por^c conta de vocês...
GROUP39.BIN,0x1F350,Kenshin^c Quer que queimemos o Livro das^c Chamas...,Kenshin^c Quer que queimemos o Livro de^c Fogo...
GROUP39.BIN,0x1F3A0,"Kenshin^c ^N-dono, o Livro das^c Chamas...","Kenshin^c ^N-dono, o Livro de^c Fogo..."
GROUP41.BIN,0x2A784,Kashiwa-mochi ^c,Kashiwa ^c
GROUP41.BIN,0x2CD80,"Para que servia o importante item^c""Bola de Cristal""? ^s","Para que servia o importante item^c""Cristal""? ^s"
GROUP41.BIN,0x2DA54,Tintura hemostática^c,Tintura^c
GROUP41.BIN,0x2DA78,Erva-de-Benkei^c,Erva Benkei^c
GROUP41.BIN,0x32BD0,Yahiko^c Ah! Isto é... uma sakabatou!?,Yahiko^c Ah! Isto é... uma sakabato!?
GROUP41.BIN,0x32D84,c6Sakabatou Shinuchic7 obtida!,c6Sakabato Shinc7 obtida!
GROUP41.BIN,0x332F8,c6Gato dourado da sortec7 obtido!,c6Gato douradoc7 obtido!
GROUP41.BIN,0x3331C,c6Erva-de-benkeic7 obtida!,c6Erva Benkeic7 obtida!
GROUP41.BIN,0x33338,c6Pílula da barba-de-cobrac7 obtida!,c6Pílula cobrac7 obtida!
GROUP41.BIN,0x33360,c6Pílula de bambu-tigrec7 obtida!,c6Píl. Itadoric7 obtida!
GROUP41.BIN,0x33384,c6Pílula de azedinhac7 obtida!,c6Pílula azedac7 obtida!
GROUP42.BIN,0x3D7E8,Aceitar a flor rosada?^s,Aceitar a flor rosa?^s
GROUP42.BIN,0x3D804,c6Flor rosadac7 obtida!,c6Flor rosac7 obtida!
GROUP45.BIN,0x388A8,c6Selo Ha-3c7 obtido!!,c6Frag. Ha-3c7 obtido!!
GROUP45.BIN,0x3E154,c6Erva Couro-de-Boic7 obtida!,c6Erva de couroc7 obtida!
GROUP45.BIN,0x3E174,c6Cota de amiantoc7 obtida!,c6Cota amiantoc7 obtida!
GROUP45.BIN,0x3E190,c6Pílula Barba-de-Cobrac7 obtida!,c6Pílula cobrac7 obtida!
GROUP45.BIN,0x3E1B4,c6Erva Amarelac7 obtida!,c6Erva amarelac7 obtida!
GROUP45.BIN,0x3E1D0,c6Óleo de Ursoc7 obtido!,c6Óleo de ursoc7 obtido!
GROUP45.BIN,0x3E224,Não há espaço para mais^cc6Erva Couro-de-Boic7.,Não há espaço para mais^cc6Erva de couroc7.
GROUP45.BIN,0x3E258,Não há espaço para mais^cc6Cota de amiantoc7.,Não há espaço para mais^cc6Cota amiantoc7.
GROUP45.BIN,0x3E28C,Não há espaço para mais^cc6Pílula Barba-de-Cobrac7.,Não há espaço para mais^cc6Pílula cobrac7.
GROUP45.BIN,0x3E2C4,Não há espaço para mais^cc6Erva Amarelac7.,Não há espaço para mais^cc6Erva amarelac7.
GROUP45.BIN,0x3E2F4,Não há espaço para mais^cc6Óleo de Ursoc7.,Não há espaço para mais^cc6Óleo de ursoc7.
GROUP46.BIN,0x1A138,Você obteve o c6Fruto Rosadoc7!,Você obteve o c6Fruto rosac7!
GROUP46.BIN,0x1A15C,Quer pegar o Fruto Rosado?^s,Quer pegar o Fruto rosa?^s
GROUP46.BIN,0x1A17C,Sanosuke^c Esse Fruto Rosado parece gostoso!,Sanosuke^c Esse Fruto rosa parece gostoso!
GROUP47.BIN,0x33BC8,c6Meladoc7 obtido!,c6Mizuamec7 obtido!
GROUP47.BIN,0x33FB0,Hitomi^c Que febre! Ele precisa de uma^c Pílula Jintan para melhorar...,Hitomi^c Que febre! Ele precisa de um^c Jintan para melhorar...
GROUP47.BIN,0x33FFC,Hitomi^c Vocês têm uma Pílula Jintan?^c Poderiam dar uma a este viajante?^s,Hitomi^c Vocês têm um Jintan?^c Poderiam dar um a este viajante?^s
GROUP47.BIN,0x34200,c6Pílula Jintanc7 administrada!,c6Jintanc7 administrado!
GROUP50.BIN,0x3EF68,Deu c6florc7 para Tsubame!,Deu c6Florc7 para Tsubame!
GROUP50.BIN,0x3EFCC,Deu c6florc7 para Tsubame!,Deu c6Florc7 para Tsubame!
